英文單字,英文例句,單字詞性和中文翻譯,例句中文翻譯
drill,"a dentist's drill\nIn some of these schools, army-style drills are used to instil a sense of discipline.",n. 鑽子；訓練，演習,牙醫的電鑽\n在其中一些學校裡，軍事化的訓練被用來灌輸紀律觀念。
instil,It is part of a teacher's job to instil confidence in/into his or her students.,v. 逐漸灌輸,逐漸向學生灌輸信心是教師工作的一部分。
syllabus,Which novels are on the syllabus this year?,n. 課程大綱，教學大綱,今年課程大綱上列了哪些小說？
abbreviation,"""ITV"" is the abbreviation for ""Independent Television"".",n. 縮寫,"""ITV"" 是 ""獨立電視台"" 的縮寫。"
agnostic,A system or platform should meet the following criteria to be considered backend agnostic.,adj./n. 與平台無關的；不可知論者(的),系統或平台必須符合以下標準才能被視為與後端無關。
amortize,The value of the machinery is amortized over its estimated useful life.\nDeque is a double-ended queue that can add or remove elements from both ends and amortize constant time.,v. 分期償還；(計算機) 平攤,機器的價值在其估計的使用壽命內分期攤銷。\n雙端佇列可以在兩端新增或移除元素，並平攤為常數時間。
arbitrary,I thought it was just an arbitrary arrangement of chairs. I didn't realize it was an art exhibit!,adj. 任意的，武斷的,我以為這只是椅子的任意排列，沒想到是藝術展覽！
come in handy,This pocket knife really comes in handy when I need to open a package.,phr. 派上用場,當我需要拆包裹時，這把折疊刀真的很派得上用場。
come into play,The new rules have already come into play.,phr. 發揮作用,新規則已經開始發揮作用。
complementary,"Biorobots are not going to replace computer simulations, as they are complementary tools.",adj. 互補的,仿生機器人不會取代電腦模擬，因為它們是互補的工具。
complimentary,Our guests said some very complimentary things about the meal I'd cooked.,adj. 讚美的；免費贈送的,我們的客人對我做的飯菜讚不絕口。
concatenate,The filename is a series of concatenated words with no spaces.,v. 連接，串聯,檔案名稱是一系列沒有空格的串聯單字。
conduct,We are conducting a survey to find out what our customers think of their local bus service.,v. 進行，實施,我們正在進行一項調查，以了解客戶對當地公車服務的看法。
consent,They can't publish your name without your consent.,n. 同意,沒有你的同意，他們不能公開你的名字。
contention,"Hence, users are responsible for balancing workload distributions across processes. Sometimes, skewed processing speeds are inevitable due to, e.g., network delays, resource contentions, or unpredictable workload spikes.",n. 爭論；(資源)競爭,因此，使用者負責平衡進程間的工作負載。有時候，處理速度的偏差是不可避免的，例如因為網路延遲、資源競爭或不可預測的負載激增。
conventional,a conventional wedding,adj. 傳統的，常規的,傳統的婚禮
cultivate,She has cultivated an image as a tough negotiator.,v. 培養，養成,她培養出了一個強硬談判者的形象。
devote,The report recommends that more resources be devoted to teaching four-year-olds.\nHe left the company to devote more time to his family.,v. 致力於，奉獻,報告建議應投入更多資源在四歲兒童的教學上。\n他離開了公司，將更多時間奉獻給家庭。
devoted,Lucy is devoted to her cats.\nI'm devoted to help learners improve their English communication skills.,adj. 忠誠的，全心全意的,Lucy 對她的貓全心全意。\n我致力於幫助學習者提升他們的英語溝通技巧。
etc.,"We saw lots of lions, tigers, elephants, etc.",adv. 等等,我們看到了很多獅子、老虎、大象等等。
exhaustive,An exhaustive comparison is outside the scope of the paper.,adj. 徹底的，詳盡的,詳盡的比較超出了本論文的範圍。
exhibit,He frequently exhibits at the art gallery.,n./v. 展覽品；展示,他經常在畫廊展出作品。
